ANO;CLASE_ACCIDENTE;DIRECCION;DIRECCION ENCASILLADA;DISENO;EXPEDIENTE;FECHA_ACCIDENTE;FECHA_ACCIDENTES;GRAVEDAD_ACCIDENTE;MES;NRO_RADICADO;NUMCOMUNA;BARRIO;COMUNA;LOCATION;X;Y
2019;Volcamiento;CR 71 CL 66;CR  071   066  000 00000;Lote o Predio;A000927384;15/02/2019 5:20;2019-02-15T10:20:00.000Z;Con heridos;2;1660280;7;0;Robledo;[-75.6502191969, 6.16753677469];825911.68;1174021.58
2019;Atropello;CL 92 CR 62;CL  092   062  000 00000;Tramo de via;A000927395;15/02/2019 7:30;2019-02-15T12:30:00.000Z;Con heridos;2;1660400;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Otro;CL 50 CR 79;CL  050   079  000 00000;Tramo de via;A000927422;15/02/2019 7:40;2019-02-15T12:40:00.000Z;Con heridos;2;1660282;11;Los Colores;Laureles Estadio;[-75.5959694852, 6.263075267];831948.49;1184573.16
2019;Otro;CR 51 CL 67;CR  051   067  000 00000;Lote o Predio;A000927424;15/02/2019 8:50;2019-02-15T13:50:00.000Z;Con heridos;2;1660274;4;San Pedro;Aranjuez;[-75.5632460176, 6.26408004568];835571.19;1184673.95
2019;Atropello;CR 50 CL 67;CR  050   067  000 00000;Tramo de via;A000927413;15/02/2019 9:15;2019-02-15T14:15:00.000Z;Con heridos;2;1660276;4;San Pedro;Aranjuez;[-75.5605288879, 6.26361667766];835871.82;1184621.84
2019;Choque;CR 999 CL 36;CR  999   036  000 00000;Tramo de via;A000927417;15/02/2019 9:15;2019-02-15T14:15:00.000Z;Con heridos;2;1660450;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Volcamiento;DG 80 CR 76;DG  080   076  000 00000;Tramo de via;A000927397;15/02/2019 10:00;2019-02-15T15:00:00.000Z;Con heridos;2;1660275;7;Villa Flora;Robledo;[-75.5895532697, 6.27712511457];832663.23;1186125.38
2019;Choque;CL 65 CR 80 A;CL  065   080 A  000 00000;Tramo de via;A000927427;15/02/2019 11:30;2019-02-15T16:30:00.000Z;Con heridos;2;1660324;7;Robledo;Robledo;[-75.5945556587, 6.27346248473];832108.32;1185721.8
2019;Choque;CL 45 CR 51;CL  045   051  000 00000;Tramo de via;A000927428;15/02/2019 13:00;2019-02-15T18:00:00.000Z;Con heridos;2;1660453;10;Guayaquil;La Candelaria;[-75.5703366473, 6.24585217441];834780.56;1182659.73
2019;Otro;CR 62 CL 67;CR  062   067  000 00000;Tramo de via;A000927440;15/02/2019 15:30;2019-02-15T20:30:00.000Z;Con heridos;2;1660263;4;Universidad de Antioquia;Aranjuez;[-75.5717032041, 6.26508735509];834635.33;1184788.04
2019;Caida Ocupante;CR 48 CL 14;CR  048   014  000 00000;Lote o Predio;A000927443;15/02/2019 17:00;2019-02-15T22:00:00.000Z;Con heridos;2;1660265;14;Villa Carlota;El Poblado;[-75.5759991236, 6.21492593967];834144.01;1179240.31
2019;Atropello;CR 65 CL 84;CR  065   084  000 00000;Tramo de via;A000927445;15/02/2019 18:40;2019-02-15T23:40:00.000Z;Con heridos;2;1660527;5;Terminal de Transporte;Castilla;[-75.5724992271, 6.28045129833];834552.06;1186487.92
2019;Caida Ocupante;CL 999 CR 999;CL  999   999  000 00000;Lote o Predio;A000927460;15/02/2019 19:10;2019-02-16T00:10:00.000Z;Con heridos;2;1660271;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Atropello;CR 86 A CL 104 BB;CR  086 A   104 BB 000 00000;Lote o Predio;A000927465;15/02/2019 19:30;2019-02-16T00:30:00.000Z;Con heridos;2;1660500;6;El Triunfo;Doce de Octubre;[-75.5845801778, 6.30777460245];833223.5;1189514.4
2019;Caida Ocupante;CR 53 CL 84;CR  053   084  000 00000;Tramo de via;A000927575;15/02/2019 19:50;2019-02-16T00:50:00.000Z;Con heridos;2;1660403;4;Bermejal-Los Alamos;Aranjuez;[-75.5648757336, 6.27820805593];835395.22;1186237.36
2019;Choque;CR 28 CL 19 A;CR  028   019 A  000 00000;Tramo de via;A000927466;15/02/2019 21:40;2019-02-16T02:40:00.000Z;Con heridos;2;1660348;Sin Inf;;;[-75.7037762763, 6.22141524356];820000;1180000
2019;Atropello;CR 62 CL 60;CR  062   060  000 00000;Tramo de via;A000927468;16/02/2019 0:30;2019-02-16T05:30:00.000Z;Con heridos;2;1660423;10;El Chagualo;La Candelaria;[-75.5733112947, 6.26032523808];834455.82;1184261.74
2019;Caida Ocupante;CL 94 CR 74 A;CL  094   074 A  000 00000;Tramo de via;A000927579;16/02/2019 11:00;2019-02-16T16:00:00.000Z;Con heridos;2;1660510;6;La Esperanza;Doce de Octubre;[-75.5789449204, 6.29057287563];833841.78;1187609.66
2019;Otro;CR 39 CL 96;CR  039   096  000 00000;Lote o Predio;A000927595;16/02/2019 12:30;2019-02-16T17:30:00.000Z;Con heridos;2;1660465;1;San Pablo;Popular;[-75.5484466519, 6.28716127318];837216.58;1187222.66
2019;Choque;CR 64 C CL 101;CR  064 C   101  000 00000;Tramo de via;A000927582;16/02/2019 13:00;2019-02-16T18:00:00.000Z;Con heridos;2;1660411;5;Tricentenario;Castilla;[-75.5677959927, 6.2943037086];835077.04;1188018.85
2019;Otro;CR 38 CL 26;CR  038   026  000 00000;Tramo de via;A000927606;16/02/2019 13:30;2019-02-16T18:30:00.000Z;Con heridos;2;1660315;9;Asomadera No. 1;Buenos Aires;[-75.5655979284, 6.23110352913];835300.53;1181026.69
2019;Otro;CR 51 C CL 81;CR  051 C   081  000 00000;Lote o Predio;A000927593;16/02/2019 15:30;2019-02-16T20:30:00.000Z;Con heridos;2;1660434;4;Miranda;Aranjuez;[-75.5638049247, 6.27530522112];835512.84;1185915.9
2019;Otro;CR 22 CL 16;CR  022   016  000 00000;Lote o Predio;A000927611;16/02/2019 16:20;2019-02-16T21:20:00.000Z;Con heridos;2;1660314;90;Suburbano Mirador del Poblado;Corregimiento de Santa Elena;[-75.5521928992, 6.21571378829];836779.75;1179320.06
2019;Volcamiento;CL 65 CR 77;CL  065   077  000 00000;Ciclo Ruta;A000927619;16/02/2019 17:45;2019-02-16T22:45:00.000Z;Con heridos;2;1660358;7;Facultad Veterinaria y Zootecnia U.de.A.;Robledo;[-75.58991543, 6.27176553478];832621.43;1185532.59
2019;Caida Ocupante;CL 80 CR 68;CL  080   068  000 00000;Tramo de via;A000927608;16/02/2019 18:30;2019-02-16T23:30:00.000Z;Con heridos;2;1660496;5;El Progreso;Castilla;[-75.5766609692, 6.27819495837];834090.67;1186239.63
2019;Atropello;CR 18 C CL 56 HG;CR  018 C   056 HG 000 00000;Interseccion;A000927616;16/02/2019 18:35;2019-02-16T23:35:00.000Z;Con heridos;2;1660473;8;Trece de Noviembre;Villa Hermosa;[-75.5413733732, 6.24846937454];837987.58;1182940.25
